WELL_NAME,LAT,LONG,X,Y
Mystone-1,-39.113059899999996,174.3076459,421615.00927762454,416799.7341892031
Kupe South-4,-39.8803889,174.1388139,406971.7660851458,331502.1035883508
Kahili-1C,-39.183,174.3687,426855.7627548989,409006.4293690501
Ngatoro-2,-39.1949429,174.1849215,411013.92314766103,407716.8809137509
Cheal-1,-39.3869679,174.30488459999998,421293.4156039386,386343.3083423603
Turangi-2,-39.0092222,174.3147972,422264.8628770189,428344.24974291585
Waihapa-6A,-39.376339,174.35548300000002,425645.73072027427,387512.0670843966
MN1P4,-39.985825,173.29374719999998,334958.3247643352,319506.2658262468
Waihapa-H1,-39.361518,174.364397,426417.50816478103,389157.51662303245
Salisbury-1 ST2,-39.235302399999995,174.2218341,414186.7380446201,403223.9776917214
Makuri-1A,-39.2496206,174.3215645,422771.49776807585,401611.513996749
Cheal-A7,-39.386834,174.304119,421227.6606103135,386358.37711407454
Ohanga-2,-39.0269708,174.35223440000001,425493.1468136443,426360.8124430917
Moturoa-5,-39.0596076,174.0436604,398838.35672104504,422773.2074668604
Kupara-1A,-39.217713700000004,174.350394,425265.45807173854,405151.73266782204
Kapuni-18,-39.4317111,174.18095,410635.66139266314,381389.94264267694
Tawa B-1,-39.5694131,174.2940606,420310.1030475439,366058.74711545825
Ahuroa South B-1,-39.2652419,174.3405856,424403.9383843581,399869.55740111065
Trapper-A1,-39.3187802,174.3613683,426173.0991922892,393910.5978038483
Stent-1,-39.2206969,173.78240830000001,376335.6267187297,404825.03706727084
Maui-7,-39.6351864,173.3207531,336942.12550647807,358515.08752049884
POW-03,-38.9895,174.27463889999999,418800.2969561161,430546.38141507603
Burgess-1,-39.267430600000004,173.7942389,377369.85277423036,399631.5365484034
Kapuni-16,-39.47598060000001,174.1962389,411941.1868326592,376465.4728424111
MB-X(4),-39.6451764,173.3158947,336535.1836928384,357400.86874737067
MA-14A,-39.5549,173.4494889,347906.2384140126,367524.3047282955
Kapuni-11,-39.494358399999996,174.185483,411015.10127127706,374423.3064534417
Konini-1,-39.347925,174.20219719999997,412475.41249891475,390703.82835613354
Mangahewa-2,-39.0730237,174.3191869,422623.61227002065,421248.7367093184
Sidewinder-1,-39.209425,174.2035722,412618.5610767909,406104.11213748035
Hursthouse-1,-39.13111370000001,174.208275,413038.285822662,414811.26154978276
MB-T(9),-39.6452154,173.3158133,336528.24971661426,357396.47512856714
Kakariki-1,-39.216476,174.3022852,421121.3649493301,405301.6834261867
Goss-A1 ST2,-39.375575,174.3640444,426381.8953497357,387594.5595062074
Kapuni-10,-39.482136,174.1799273,410540.22000337124,375783.0451801455
MB-W(2),-39.6451583,173.3159144,336536.85393302847,357402.8951620507
POW-02,-38.989046,174.27463600000002,418800.1676141512,430596.8649258264
Karewa-1,-37.937571500000004,174.2068686,413136.53955657943,547540.170078942
Kapuni-17,-39.4946,174.18499440000002,410973.1374023983,374396.500919022
Salisbury-1,-39.2352155,174.2218694,414189.79589227785,403233.6349791084
Heaphy-1,-39.028238,174.4108148,430552.88150628575,426201.7725732901
Maui-6,-39.5296319,173.4074213,344279.53802147234,370308.9034457347
Stratford-1A,-39.3046594,174.26963510000002,418285.55960383534,395503.27776493743
Maui-1,-39.6690752,173.31008569999997,336059.744733577,354739.38427858887
Tipoka-1,-39.3237583,173.7737406,375624.8274142522,393362.8906497836
Goldie-2 ST1,-39.184927200000004,174.1689056,409635.1114883055,408832.40194603667
Waihapa-8,-39.385556,174.36701100000002,426633.08659376006,386483.85898244154
Cheal-A3X,-39.3869652,174.3047673,421283.33567043894,386343.6361518201
Kongahu-1,-41.245612200000004,171.8745361,217430.09769445038,177455.59731329826
MB-Q(10),-39.645230600000005,173.31583669999998,336530.26706866967,357394.8013917144
MB-11A,-39.6452433,173.3157492,336522.78686881263,357393.32788315223
Cape Egmont-1,-39.213806,173.7902005,377004.6196497052,405593.2747575827
Pukeko-1,-39.921561700000005,172.9374089,304509.91188181704,326336.220511519
POB-03A,-38.8891806,174.24683330000002,416420.4853459731,441706.94604204723
Beluga-1,-39.1273357,174.35068330000001,425322.9695259101,415201.1833547769
Waihapa-6,-39.376339,174.35548300000002,425645.73072027427,387512.0670843966
Takahe-1,-39.1085792,174.15346719999997,408313.53669186024,417323.4515872458
Waihapa-1A,-39.385714,174.37214699999998,427074.4209110315,386464.7667572806
Mangahewa-3,-39.0520028,174.31101669999998,421924.8711688534,423588.16830557556
Waihapa-1,-39.385714,174.37214699999998,427074.4209110315,386464.7667572806
Kaimiro-5,-39.1678722,174.15087219999998,408082.80625517876,410730.5962657079
Ahuroa-3,-39.26495560000001,174.34034169999998,424383.0407898855,399901.4580577927
Mangamahoe-1,-39.1202765,174.116245,405101.07502857683,416025.52558035526
Kaimiro-10,-39.174715,174.15339609999998,408299.5807307806,409969.4830278861
Tuhua-6,-39.0648451,174.3526456,425514.9188226373,422149.2603112942
Ahuroa-4,-39.2651666,174.34055669999998,424401.47661747265,399877.93812429486
Kaimiro-2,-39.164511100000006,174.15410830000002,408362.1886747823,411104.0397731248
POB-01,-38.912106099999995,174.2716586,418563.11009829026,439152.906286346
MB-R(1),-39.645143100000006,173.3158913,336534.8622664139,357404.5691109192
Cardiff-2AST1,-39.3675111,174.2812611,419268.569516937,388512.09396791493
Tuhua-1,-39.0674285,174.3511206,425382.32431929116,421862.4279706227
Toetoe-4B,-39.1238527,174.3140032,422160.0884916687,415598.0939391143
Wainui-1,-38.462684700000004,173.3085245,334816.85667425784,488881.4098065011
Tahi-1,-40.0835275,174.1643665,409125.5125186815,308910.08327171346
Arakamu-1,-39.4250018,174.34124,424404.52133344166,382104.9628932354
Tariki-4,-39.217763899999994,174.35044169999998,425269.54923058476,405146.13739904657
Piakau-1,-39.2976655,174.3358797,423987.7085851362,396265.49420300056
Ahuroa-1A,-39.265097499999996,174.35028490000002,425238.9966928442,399882.9544796539
Taimana-1,-38.855463,173.5390865,355142.60900220164,445345.1214026248
Toru-1,-39.72047070000001,174.1610379,408888.6460659383,349283.0177259037
McKee-6A,-39.1024069,174.3321459,423732.3781866283,417978.1564130678
